계획,이수구분(주전공),이수구분(다전공),공학인증,교과영역,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),과정,수강대상
,전공_IT경영,,,,5043723901,미래IT기술 인사이트,,,,신용태,IT정책경영학과,3.0/3.0,0,100,"토 16:20-17:10 (-신용태)
토 17:20-18:10 (-신용태)
토 18:20-19:10 (-신용태)",석박과정,전체
,전선_목회상담,,,,5045963401, 상담사례개념화,,,,신선임,기독교상담학과,3.0/3.0,0,100,월 15:00-17:15 (-신선임),석사과정,전체
,전기-AI융합/전기-IT융합/전기-건축공학/전기-건축학/전기-건축학부/전기-기계/전기-물리/전기-신소재/전기-의생명시스템/전기-전기/전기-전자공학/전기-화공/전기-화학/전선-소프트/전선-컴퓨터,복선-컴퓨터,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)",학사과정,"전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-AI융합/전기-IT융합/전기-건축공학/전기-건축학/전기-건축학부/전기-기계/전기-물리/전기-신소재/전기-의생명시스템/전기-전기/전기-전자공학/전기-화공/전기-화학/전선-소프트/전선-컴퓨터,복선-컴퓨터,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)",학사과정,"전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-AI융합/전기-IT융합/전기-건축공학/전기-건축학/전기-건축학부/전기-기계/전기-물리/전기-신소재/전기-의생명시스템/전기-전기/전기-전자공학/전기-화공/전기-화학/전선-소프트/전선-컴퓨터,복선-컴퓨터,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)",학사과정,"전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-물리/전기-산업·정보/전기-신소재/전기-의생명시스템/전기-전기/전기-화공/전기-화학,,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)",학사과정,"전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,교필,,,,2150105001,(외국인을위한)대학글쓰기,,,,김연주,교양교육운영팀,2.0/2.0,0,30,"월 11:00-11:50 (미래관 20406-김연주)
월 12:00-12:50 (미래관 20406-김연주)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105002,(외국인을위한)대학글쓰기,,,,김희진,교양교육운영팀,2.0/2.0,0,30,"월 11:00-11:50 (진리관 11522 (이효계강의실)-김희진)
월 12:00-12:50 (진리관 11522 (이효계강의실)-김희진)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105003,(외국인을위한)대학글쓰기,,,,정회란,교양교육운영팀,2.0/2.0,0,30,"월 11:00-11:50 (교육관 06302-정회란)
월 12:00-12:50 (교육관 06302-정회란)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105004,(외국인을위한)대학글쓰기,,,,김연주,교양교육운영팀,2.0/2.0,0,30,"목 11:00-11:50 (교육관 06202-김연주)
목 12:00-12:50 (교육관 06202-김연주)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105005,(외국인을위한)대학글쓰기,,,,이찬희,교양교육운영팀,2.0/2.0,0,30,"목 11:00-11:50 (진리관 11402-이찬희)
목 12:00-12:50 (진리관 11402-이찬희)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105006,(외국인을위한)대학글쓰기,,,,윤선희,교양교육운영팀,2.0/2.0,0,30,"목 11:00-11:50 (조만식기념관 12408 (림인식강의실)-윤선희)
목 12:00-12:50 (조만식기념관 12408 (림인식강의실)-윤선희)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011901,(외국인을위한)디지털시대의글쓰기,,,,최동일,교양교육운영팀,3.0/3.0,0,36,월 목 13:30-14:45 (미래관 20108-최동일),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011902,(외국인을위한)디지털시대의글쓰기,,,,최은정,교양교육운영팀,3.0/3.0,0,50,월 수 13:30-14:45 (문화관 03506-최은정),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011801,(외국인을위한)한국어학의이해,,,,박정순,교양교육운영팀,3.0/3.0,0,50,월 목 15:00-16:15 (정보과학관 21601-박정순),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011802,(외국인을위한)한국어학의이해,,,,박정순,교양교육운영팀,3.0/3.0,0,50,수 금 12:00-13:15 (미래관 20406-박정순),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011803,(외국인을위한)한국어학의이해,,,,조성해,교양교육운영팀,3.0/3.0,0,48,화 목 15:00-16:15 (진리관 11306-조성해),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011701,(외국인을위한)한류와대중문화의이해,,,,윤선희,교양교육운영팀,3.0/3.0,0,48,월 목 13:30-14:45 (미래관 20404-윤선희),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011702,(외국인을위한)한류와대중문화의이해,,,,최지영,교양교육운영팀,3.0/3.0,0,50,화 금 13:30-14:45 (진리관 11522 (이효계강의실)-최지영),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011703,(외국인을위한)한류와대중문화의이해,,,,윤선희,교양교육운영팀,3.0/3.0,0,50,화 금 13:30-14:45 (벤처중소기업센터 10512-윤선희),학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",2150011704,(외국인을위한)한류와대중문화의이해,,,,박서욱,교양교육운영팀,3.0/3.0,0,50,"목 15:00-16:15 (진리관 11522 (이효계강의실)-박서욱)
목 16:30-17:45 (진리관 11522 (이효계강의실)-박서욱)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]정치와경제(융합-사회)",2150178501,4.0국제물류와운송,,대면+녹화,,이기병,벤처경영학과(계약학과),3.0/3.0,0,35,토 16:30-17:45 (숭덕경상관 02207-이기병),학사과정,전체학년 벤처경영학과(계약학과) (대상외수강제한)
,교선,,,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]숭실품성-인성과리더십
['16-'18]실용교양(경제경영)
['15이전]인성과리더쉽(핵심-창의)",2150046001,4차산업혁명과창업,,녹화,,전삼현,교양교육운영팀,3.0/3.0,0,110,"토 20:00-21:00 (-전삼현)
토 20:00-21:00 (-전삼현)",학사과정,전체학년 전체
,교선,,,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",2150138501,4차산업혁명시대의기술혁신과AI,비대면 기말고사,녹화,,한용희,학사팀,3.0/3.0,0,228,,학사과정,전체
,전공-교육경영,,,,5050989601,AI 기반 교육경영전략,,,,이정규,교육경영학과(계약학과),3.0/3.0,0,100,"목 12:00-12:50 (-이정규)
목 13:00-13:50 (-이정규)
목 14:00-14:50 (-이정규)",석박과정,전체
,전공_벤처,,,,5055496401,AI 논문 연구 I,,,,한용희,벤처중소기업학과,3.0/3.0,0,100,"화 19:00-19:50 (-한용희)
화 20:00-20:50 (-한용희)
화 21:00-21:50 (-한용희)",석박과정,전체
,교과목 전체,,,,5046886701,AI 데이터 실무활용,,,,안성욱,AI·SW융합학과(계약학과),3.0/3.0,0,100,"수 19:00-19:50 (-안성욱)
수 20:00-20:50 (-안성욱)
수 21:00-21:50 (-안성욱)",석박과정,"전체학년 AI·SW융합학과, AI테크노융합학과 (대상외수강제한)"
,전공_컴퓨터,,,,5055472901,AI 시대의 지식재산과 법적 쟁점,,,,고영미,컴퓨터학과,3.0/3.0,0,100,"월 19:00-19:50 (-고영미)
월 20:00-20:50 (-고영미)
월 21:00-21:50 (-고영미)",석박과정,전체
,전공_IT경영,,,,5055447201,AI 테크 타이탄과 미래,,,,강희용,IT정책경영학과,3.0/3.0,0,100,"토 13:20-14:10 (-강희용)
토 14:20-15:10 (-강희용)
토 15:20-16:10 (-강희용)",석박과정,전체
,전공_AI테크노융합학,,,,5048923201,AI 프로그래밍,,,,,AI테크노융합학과,3.0/3.0,0,100,"토 13:00-13:50 (-)
토 14:00-14:50 (-)
토 15:00-15:50 (-)",석박과정,"전체학년 AI테크노융합학과 ,AI·SW융합학과 (대상외수강제한)"
,교과목 전체,,,,5046886301,AI 플랫폼과 비즈니스모델,,,,최형광,AI·SW융합학과(계약학과),3.0/3.0,0,100,"토 16:00-16:50 (-최형광)
토 17:00-17:50 (-최형광)
토 18:00-18:50 (-최형광)",석박과정,"전체학년 AI·SW융합학과, AI테크노융합학과 (대상외수강제한)"
,전선_융합영재,,,,5055247301,AI 활용 진로진학지도,,,,노형철,융합영재교육전공,2.0/2.0,0,25,월 19:35-21:05 (웨스트민스터홀 22442-노형철),석사과정,전체
,전선_융합영재,,,,5055247501,AI 활용 창의융합 교수설계,,,,태진미,융합영재교육전공,2.0/2.0,0,25,월 21:10-22:40 (웨스트민스터홀 22442-태진미),석사과정,전체
,교과목 전체,,,,5051041101,AISW융합프로젝트,,,,김계영,AI·SW융합학과(계약학과),3.0/3.0,0,100,"토 13:00-13:50 (-김계영)
토 14:00-14:50 (-김계영)
토 15:00-15:50 (-김계영)",석박과정,"전체학년 AI·SW융합학과, AI테크노융합학과 (대상외수강제한)"
,전선_IT경영,,,,5055369101,AI기술과 전문가,,,,강희용,IT경영학과,3.0/3.0,0,30,"월 19:00-19:45 (-강희용)
월 20:00-20:45 (-강희용)
월 21:00-21:45 (-강희용)",석사과정,전체
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-철학/사상)
['15이전]역사와철학(융합-인문)",2150143501,AI미래사회와인문학,,,,이국배,숭실학술원 행정팀,2.0/2.0,0,50,"금 12:00-12:50 (진리관 11302-이국배)
금 13:00-13:50 (진리관 11302-이국배)",학사과정,전체
,전공_AI바이오,,,,5055501401,AI바이오 캡스톤 I,,,,한경도,AI바이오학과,3.0/3.0,0,100,"화 16:00-16:50 (-한경도)
화 17:00-17:50 (-한경도)
화 18:00-18:50 (-한경도)",석박과정,전체
,전선_IT경영,,,,5055369301,AI시대 딥테크 스타트업 전략,,,,기홍석,IT경영학과,3.0/3.0,0,30,"수 19:00-19:45 (-기홍석)
수 20:00-20:45 (-기홍석)
수 21:00-21:45 (-기홍석)",석사과정,전체
,전공_인플루언서,,,,5054508101,AI시대 인플루언서 콘텐츠 비즈니스,,,,김현경,인플루언서학과,3.0/3.0,0,40,"토 16:20-17:05 (-김현경)
토 17:20-18:05 (-김현경)
토 18:25-19:10 (-김현경)",석사과정,전체
,전선_융합영재,,,,5046833601,AI시대의 지식재산 보호와 관리 지도방법,,,,김승혁,융합영재교육전공,2.0/2.0,0,25,월 19:35-21:05 (웨스트민스터홀 22434-김승혁),석사과정,전체
,교선,,,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]정치와경제(융합-사회)",2150066301,AI시대의경제통상이해,,,,신우철,글로벌통상학과,3.0/3.0,0,50,"수 15:00-16:15 (교육관 06302-신우철)
수 16:30-17:45 (교육관 06302-신우철)",학사과정,전체학년
,교선,,,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",2150057301,AI시대의정보보안,"IT융합전공, 컴퓨터, 소프트, AI융합, 글로벌미디어, 정보보호학과, AI소프트웨어 제한",녹화,,장의진,SW교육팀,3.0/3.0,0,110,"화 09:00-10:15 (벤처중소기업센터 10309 (이도영강의실)-장의진)
화 09:00-10:15 (벤처중소기업센터 10309 (이도영강의실)-장의진)",학사과정,"전체(IT융합전공 ,컴퓨터 ,소프트 ,AI융합학부 ,글로벌미디어, 정보보호학과, 학점교류생 제한)"
,전공_AI바이오,,,,5055501801,AI와 국가데이터,,,,,AI바이오학과,3.0/3.0,0,100,"토 13:00-13:50 (-)
토 14:00-14:50 (-)
토 15:00-15:50 (-)",석박과정,전체
,전공_미디어,,,,5055463701,AI와 디지털미디어,,,,박재완,미디어학과,3.0/3.0,0,100,"토 12:00-12:50 (-박재완)
토 13:00-13:50 (-박재완)
토 14:00-14:50 (-박재완)",석박과정,전체
,전공_IT경영,,,,5055446801,AI와 법,,,,전삼현,IT정책경영학과,3.0/3.0,0,100,"토 13:20-14:10 (-전삼현)
토 14:20-15:10 (-전삼현)
토 15:20-16:10 (-전삼현)",석박과정,전체
,전공_IT경영,,,,5055447001,AI와 크립토 논문세미나,,,,김광용,IT정책경영학과,3.0/3.0,0,100,"토 16:20-17:10 (-김광용)
토 17:20-18:10 (-김광용)
토 18:20-19:10 (-김광용)",석박과정,전체
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-철학/사상)
['15이전]역사와철학(융합-인문)",2150141501,AI와윤리,,,,김광연,철학과,3.0/3.0,0,50,"화 15:00-16:15 (진리관 11516-김광연)
목 15:00-16:15 (백마관 07403-김광연)",학사과정,전체
,교선,,,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]자연과학과수리(융합-자연)",2150077901,AI입문,,대면+녹화,,문지욱,차세대반도체학과,3.0/3.0,0,100,화 16:30-17:45 (베어드홀 01103-문지욱),학사과정,전체학년 전체
,교선,,,"[‘23이후]자기개발·진로탐색
['20,'21~'22]공동체/리더십,숭실품성-자기계발과진로탐색
['19]숭실품성-인성과리더십
['16-'18]숭실품성(리더십-리더십이론및실천)
['15이전]학문과진로탐색(실용-생활)",2150159701,AI자기주도학습설계,,,,정나리아,SW교육팀,3.0/3.0,0,50,"수 10:30-11:45 (정보과학관 21206-정나리아)
수 12:00-13:15 (정보과학관 21206-정나리아)",학사과정,전체
,전공_AI테크노융합학,,,,5048923601,AI테크노융합개론,,,,박광영,AI테크노융합학과,3.0/3.0,0,100,"월 19:00-19:50 (-박광영)
월 20:00-20:50 (-박광영)
월 21:00-21:50 (-박광영)",석박과정,"전체학년 AI테크노융합학과 ,AI·SW융합학과 (대상외수강제한)"
,전공_AI테크노융합학,,,,5051048701,AI테크노프로젝트,,,,김계영,AI테크노융합학과,3.0/3.0,0,100,"금 19:00-19:50 (-김계영)
금 20:00-20:50 (-김계영)
금 21:00-21:50 (-김계영)",석박과정,"전체학년 AI테크노융합학과 ,AI·SW융합학과 (대상외수강제한)"
,전선-스포츠,,,,2150015401,AT이론및실제,"3학년스포츠 사이언스,스포츠",,,전형규,스포츠학부,3.0/3.0,0,40,"금 09:00-10:15 (교육관 06202-전형규)
금 10:30-11:45 (교육관 06202-전형규)",학사과정,전체학년 스포츠 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150637701,Academic English Listening & Reading,,,,오선주,교양교육운영팀,3.0/3.0,0,48,"화 15:00-16:15 (진리관 11305-오선주)
화 16:30-17:45 (진리관 11305-오선주)",학사과정,전체학년 전체(영어영문학과제외)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150637702,Academic English Listening & Reading,,,,JosiahHunt,교양교육운영팀,3.0/3.0,0,48,"수 15:00-16:15 (진리관 11306-JosiahHunt)
수 16:30-17:45 (진리관 11306-JosiahHunt)",학사과정,전체학년 전체(영어영문학과제외)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150017601,Advanced Writing and speaking English I,,,,,벤처경영학과(계약학과),3.0/3.0,0,50,,학사과정,전체
,전공_문화콘텐츠,,,,5055452401,Agentic AI 응용,,,,이정진,메타버스·문화콘텐츠학과,3.0/3.0,0,100,"수 13:00-13:50 (-이정진)
수 14:00-14:50 (-이정진)
수 15:00-15:50 (-이정진)",석박과정,전체
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어/융선-뉴미디어콘텐츠융합,,,2150533504,Art & Technology,,, (공통-재수강),전석,글로벌미디어학부,3.0/3.0,0,40,"월 10:30-11:45 (정보과학관 21403-전석)
월 12:00-13:15 (정보과학관 21403-전석)",학사과정,"전체학년 글로벌미디어,뉴미디어콘텐츠융합"
,전공_재난안전관리학,,,,5032598201,BCMS프로젝트실습Ⅰ,,,,송은정,재난안전관리학과,3.0/3.0,0,100,토 13:00-15:30 (-송은정),석박과정,전체
,전공_재난안전관리학,,,,5032599401,BCMS프로젝트실습Ⅱ,,,,정종수,재난안전관리학과,3.0/3.0,0,100,"화 14:00-14:50 (-정종수)
화 15:00-15:50 (-정종수)
화 16:00-16:50 (-정종수)",석박과정,전체
,전선-컴퓨터,복선-컴퓨터,,,2150175404,C++프로그래밍및실습,,, (공통-재수강),유상현,컴퓨터학부,4.0/3.0,0,50,"월 13:00-13:50 (정보과학관 21101 (실습실)-유상현)
월 14:00-14:50 (정보과학관 21101 (실습실)-유상현)
금 13:00-13:50 (정보과학관 21101 (실습실)-유상현)
금 14:00-14:50 (정보과학관 21101 (실습실)-유상현)",학사과정,전체학년 컴퓨터
,교선,,,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",2150179301,Cinematic Journeys through Modern Korea,교환학생 수강 대상 과목,영어,,윤영실,숭실학술원 행정팀,3.0/3.0,0,50,"목 15:00-16:15 (진리관 11302-윤영실)
목 16:30-17:45 (진리관 11302-윤영실)",학사과정,전체
,전공_AI융학보안,,,,5055506401,Co-op 프로젝트1,,,,최대선,AI융합보안학과,3.0/3.0,0,100,"월 19:00-19:50 (-최대선)
월 20:00-20:50 (-최대선)
월 21:00-21:50 (-최대선)",석박과정,전체
,전선-AI융합/전선-IT융합/전선-글로벌미디어/전선-소프트/전선-컴퓨터,복선-AI융합/복선-IT융합/복선-글로벌미디어/복선-소프트/복선-컴퓨터/부선-AI융합/부선-IT융합/부선-글로벌미디어/부선-소프트,,,2150156801,Co-op클라우드트랙,,,,최종석,SW교육팀,6.0/6.0,0,0,"화 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
화 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)
목 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
목 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)",학사과정,전체
,교과목전체,,,,5048921401,Co-op프로젝트1,,,,박광영,소프트웨어학과,3.0/3.0,0,100,"월 14:00-14:50 (-박광영)
월 15:00-15:50 (-박광영)
월 16:00-16:50 (-박광영)",석박과정,전체
,전선-벤처경영,,,,2150161001,DX시대의중소기업비즈니스실무,,대면+녹화,,신호철,벤처경영학과(계약학과),3.0/3.0,0,35,토 15:00-16:15 (숭덕경상관 02208-신호철),학사과정,전체학년 벤처경영학과(계약학과) (대상외수강제한)
,전선_AI학과,,,,5047049001,Deep Learning Network Design Application,,,,김정후,인공지능학과,3.0/3.0,0,30,"월 19:00-19:45 (-김정후)
월 20:00-20:45 (-김정후)
월 21:00-21:45 (-김정후)",석사과정,전체
,전공_IT경영,,,,5054539301,ESG 경영전략,,,,유훈,IT정책경영학과,3.0/3.0,0,100,"토 13:20-14:10 (-유훈)
토 14:20-15:10 (-유훈)
토 15:20-16:10 (-유훈)",석박과정,전체
,교선,,,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",2150142901,ESG경영과사회문제해결,,,,김종옥,벤처중소기업학과,3.0/3.0,0,50,"화 15:00-16:15 (문화관 03314-김종옥)
화 16:30-17:45 (문화관 03314-김종옥)",학사과정,전체
,전선-국제무역,복선-국제무역/부선-국제무역,,,2150155301,ESG경영전략,4학년 우선신청,대면+녹화,,신우철,국제무역학과,3.0/3.0,0,55,수 19:30-20:45 (숭덕경상관 02111-신우철),학사과정,전체학년 국제무역 (대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",2150094701,East Asian Art History,,영어,,송영숙,교양교육운영팀,3.0/3.0,0,40,"수 13:30-14:45 (진리관 11522 (이효계강의실)-송영숙)
수 15:00-16:15 (진리관 11522 (이효계강의실)-송영숙)",학사과정,전체학년 교환학생(대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-문화및문명)
['15이전]세계의문화와국제관계(핵심-창의)",2150630401,East Asian Culture,,영어,,이은하,교양교육운영팀,3.0/3.0,0,40,수 금 13:30-14:45 (미래관 20B102-이은하),학사과정,전체학년 교환학생(대상외수강제한)
,교선,,,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-문화및문명)
['15이전]세계의문화와국제관계(핵심-창의)",2150630402,East Asian Culture,,,,임동진,교양교육운영팀,3.0/3.0,0,50,"화 12:00-13:15 (미래관 20406-임동진)
화 13:30-14:45 (미래관 20406-임동진)",학사과정,전체학년 전체;순수외국인입학생 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150519101,English Communication in Business Contex,,영어,,이가영,교양교육운영팀,3.0/3.0,0,50,"화 15:00-16:15 (진리관 11301-이가영)
화 16:30-17:45 (진리관 11301-이가영)",학사과정,전체학년 전체
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150522101,English Speaking and Listening,,영어,,송은혜,교양교육운영팀,3.0/3.0,0,30,"토 12:00-13:15 (진리관 11305-송은혜)
토 13:30-14:45 (진리관 11305-송은혜)",학사과정,전체학년 금융경제 (대상외수강제한)
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150522102,English Speaking and Listening,,영어,,Gregory Dawson,교양교육운영팀,3.0/3.0,0,30,"수 15:00-16:15 (진리관 11305-Gregory Dawson)
수 16:30-17:45 (진리관 11305-Gregory Dawson)",학사과정,전체학년 전체
,교선,,,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-영어)
['15이전]세계의언어(핵심-창의)",2150522103,English Speaking and Listening,,영어,,Gregory Dawson,교양교육운영팀,3.0/3.0,0,30,"목 15:00-16:15 (진리관 11305-Gregory Dawson)
목 16:30-17:45 (진리관 11305-Gregory Dawson)",학사과정,전체학년 전체
